casts,popularity,imdb_avgRating
Alice Bendová,1.473,4.8999999999999995
Alice Borges,0.828,5.9
Alice Braga,10.242000000000003,6.699999999999999
Alice Butaud,0.6,6.8
Alice Carel,0.6,6.6
Alice Chan,1.385,5.316666666666667
Alice Cooper,1.7549999999999997,6.9799999999999995
Alice Croci,0.6,
Alice David,2.758,5.55
Alice Dixson,1.214,7.3
Alice Diya,0.6,
Alice Dreger,0.6,
Alice Drummond,0.609,5.1
Alice Dubuisson,0.6,6.6
Alice Dwyer,2.8180000000000005,6.423076923076923
Alice Englert,2.429,5.9
Alice Evans,0.618,5.385714285714285
Alice Eve,8.408,6.75
Alice Ferri,0.6,5.3
Alice Frank,0.6,3.7
Alice Garner,0.6,6.3
Alice Greczyn,1.4,4.76
Alice Haaber,0.6,3.4
Alice Havrell Nilsson,0.6,6.2
Alice Hendon,0.6,7.3
Alice Henley,1.62,7.6
Alice Hirose,2.709,5.2
Alice Houri,1.4,6.050000000000001
Alice Huber,0.6,7.7
Alice Iskak,0.6,6.1
Alice Kastrup-Möller,0.6,5.3
Alice Kremelberg,2.137,4.6
Alice Krige,7.468999999999998,5.893333333333333
Alice Kudlak,0.6,6.7
Alice Langlois,0.6,6.6
Alice Lau Nga-Lai ,1.02,6.1
Alice Lee,0.989,5.9
Alice Lim,0.6,3.6
Alice May,0.828,4.7
Alice Mihai,0.6,6.3
Alice Morel-Michaud,1.196,6.85
Alice Neel,0.6,6.65
Alice Norin,0.6,5.8
Alice O'Connell,0.6,4.55
Alice Pagani,8.603,6.7
Alice Pang Wai-Kwan,0.6,5.3
Alice Parkinson,1.62,5.9
Alice Patten,1.4,7.449999999999999
Alice Pol,3.4903333333333335,6.6
Alice Renouf,0.6,2.6
Alice Reys,1.38,6.9
Alice Rohrwacher,0.84,6.4
Alice Sharif,0.6,3.7
Alice Taglioni,3.349000000000001,5.556250000000001
Alice Timander,0.6,6.0
Alice Torrani,0.6,6.4
Alice Treff,0.648,4.9
Alice Tzeng,1.383,7.5
Alice Visconti,0.6,3.9
Alice Walker,1.413,6.9
Alice Wang,0.6,4.7
Alice White,0.6,7.5
Alice Zorthian,0.6,6.8
Alice de Lencquesaing,2.071,6.95
Alicia Agut,0.6,5.45
Alicia Alonzo,0.6,6.7
Alicia Ancel,0.6,7.7
Alicia Arden,1.4,5.4
Alicia Bogo,1.305,3.9
Alicia Bonet,1.22,4.4
Alicia Borrachero,1.4,6.2
Alicia Bustamante,0.6,5.5
Alicia Cabrera,0.6,5.6
Alicia Coppola,3.749,5.366666666666667
Alicia Djemaï,0.6,5.7
Alicia Djohar,0.828,5.9
Alicia Encinas,1.4,5.2
Alicia Fulford-Wierzbicki,0.6,6.8
Alicia Fusting,0.6,4.2
Alicia Hermida,1.107,5.0
Alicia Horton,0.6,4.5
Alicia James,0.6,3.5
Alicia Keys,3.169,6.75
Alicia Lagano,1.116,3.8
Alicia Lane,0.98,6.7
Alicia Mayer,0.6,6.0
Alicia Mitzner,0.6,4.6
Alicia Mohino,0.6,6.7
Alicia Nordstrom,0.6,
Alicia Orozco,1.128,6.2
Alicia Palmes,0.6,7.1
Alicia Roda,0.6,5.3
Alicia Sandoval,0.6,6.6
Alicia Sanz,2.584,6.1
Alicia Silverstone,4.876,5.485714285714286
Alicia Simmons-Miracle,0.6,4.7
Alicia Skirball,0.6,3.3
Alicia Sylvia,0.6,6.8
Alicia Underwood,0.6,4.8
Alicia Van Couvering,1.094,6.9
Alicia Vidal,0.6,3.5
Alicia Vikander,18.437,7.15
Alicia Villoldo Botana,0.6,
Alicia Witt,9.713,6.311111111111111
Alicia Zanca,0.6,6.25
Alicia Ziegler,1.581,6.8
Alicia del Lago,0.994,5.3
Alicja Bachleda-Curuś,0.708,6.88
Alicja Czerniewicz,0.6,6.5
Alicja Gradowska,0.6,4.6
Alicja Sapryk,0.6,6.4
Alida Bevk,0.6,6.5
Alida Valli,1.4,5.15
Alie Ward,0.84,2.4
Alien Huang,0.6,7.3
Aliette Opheim,2.233,3.8499999999999996
Alif Lubis,0.6,6.8
Alika Smekhova,0.608,3.4
Aliki Kamineli,0.6,4.0
Alim Bilal,0.6,8.3
Alimzhan Tokhtakhunov,0.98,6.8
Alin Bijan,1.22,6.1
Alin Panc,1.094,4.8
Alina Andrei,1.008,3.9
Alina Bulynko,1.013,5.1
Alina Chivulescu,1.616,6.2
Alina Fotetsou,0.6,3.1
Alina Kotsovoulou,0.6,5.2
Alina Lopez,15.583,7.0
Alina Lozano,0.6,6.6
Alina Nedelea,0.608,6.75
Alina Phelan,0.6,5.8
Alina Rodríguez,0.6,7.0
Alina Sakko,0.6,5.4
Alina Sergeeva,0.828,6.9
Alina Vargas,0.6,7.2
Aline Adita,0.6,6.3
Aline Belibi,0.6,5.9
Aline Caron,0.6,5.5
Aline Küppenheim,3.224,6.600000000000001
Aline Manza,0.6,7.7
Aline Mowat,1.932,7.4
Aline Schulmann,0.6,6.9
Alinne Moraes,0.98,6.4
Aliona Munteanu,0.6,7.2
Alioune Ndiaye,0.6,6.8
Alireza Khamseh,0.6,7.0
Alireza Oosivand,0.6,6.65
Alireza Ostadi,1.4,4.35
Alisa Banks,0.6,5.5
Alisa Bogart,0.6,5.7
Alisa Bosschaert,0.694,8.8
Alisa Cox,0.6,6.0
Alisa Grebenshchikova,1.4,6.2749999999999995
Alisa Intusmith,0.6,5.1
Alisa Kajornchaiyakul,0.6,6.5
Alisa Khazanova,1.832,5.1
Alisa Mattson,0.6,4.3
Alisa Oleynik,0.6,7.1
Alisa Priznyakova,0.6,4.9
Alisa Robinson,0.6,5.3
Alisa Röyttä,0.6,6.8
Alisa Terek,0.6,7.2
Alisa Torres,0.6,4.9
Alisan Porter,1.4,7.2
Alisan Önlü,0.6,6.1
Alisen Down,1.187,4.5
Alisha Baig,0.6,4.25
Alisha Boe,2.727,4.9
Alisha Klass,2.72,5.8
Alisha Seaton,0.6,3.5
Alisha Tarvainen,0.6,5.2
Alisha Wainwright,1.708,8.2
Alison Akin Clark,0.6,5.4
Alison Araya,2.984,6.35
Alison Arngrim,0.6,5.7
Alison Becker,1.951,7.4
Alison Bramich,0.6,4.8
Alison Brie,3.552,4.8
Alison Bruce,0.998,5.549999999999999
Alison Eastwood,1.2822857142857145,4.785714285714286
Alison Elliott,1.286,7.0
Alison Finnegan,1.22,6.8
Alison Folland,1.092,6.199999999999999
Alison Fraser,0.6,4.7
Alison Garland,1.4,5.3
Alison Haislip,0.6,6.2
Alison Heruth-Waterbury,0.6,5.1
Alison Hinds,0.6,6.0
Alison King,2.906,5.7
Alison Krauss,0.6,7.2
Alison Lohman,2.0309999999999997,5.7700000000000005
Alison Louder,1.372,4.9
Alison MacInnis,0.629,2.85
Alison Mandel,0.618,3.7
Alison Moir,1.4,6.2
Alison Mollon,0.6,4.0
Alison Monda,0.6,6.3
Alison Nicole Magill,0.6,7.4
Alison O'Donnell,1.96,5.7
Alison Pill,3.98,6.211111111111112
Alison Raimondi,0.6,6.7
Alison Reid,0.6,6.6
Alison Rose,0.6,
Alison Routledge,0.6,6.85
Alison Steadman,3.702,6.175
Alison Sudol,3.774,6.8
Alison Wandzura,0.985,4.2
Alison Whitney,0.6,4.4
Alison Whyte,0.6,4.0
Alison Wright,2.838,6.2
Alissa Alban,1.094,4.6
Alissa Bailey,0.828,8.0
Alissa Hooper,0.6,5.5
Alissa Rice,0.6,6.1
Alissia Miller,0.6,5.9
Alisson Lalieux,0.6,6.8
Alistair Abell,0.746,4.85
Alistair Browning,0.84,6.066666666666667
Alistair Findlay,0.6,6.4
Alistair MacLeod,0.6,
Alistair McGowan,1.62,5.4
Alistair Petrie,2.086,6.6000000000000005
Alito Rodgers,1.4,6.4
Alix Bénézech,1.166,4.3
Alix Henning,0.6,1.9
Alix Hitchings,0.6,4.6
Alix Korey,0.6,6.2
Alix Koromzay,1.366,6.25
Alix Lovell,2.209,
Alix Poisson,1.4,5.550000000000001
Alix de Konopka,0.625,6.6
Aliya Mortel,0.6,
Aliyah Faizah,0.6,6.6
Aliyar,1.4,7.7
Alizeh Shah,0.6,5.7
Alizé,0.6,7.8
Alja Nikitović,0.6,6.5
Aljoša Kovačič,1.4,6.1
Aljoša Rebolj,0.6,4.5
Aljoša Ternovšek,0.6,7.5
Aljoša Vučković,1.164,7.266666666666667
Alka Amin,0.6,7.4
Alka Balbir,0.6,5.5
Alki David,0.6,5.0
Alkis Kourkoulos,2.102,6.7
Alkis Kritikos,0.6,7.4
Alkis Panagiotidis,1.22,6.95
Alkistis Pavlidou,0.6,6.7
Alla Budnitskaya,0.972,5.5
Alla Demidova,1.4,7.6
Alla Faerovich,0.6,7.1
Alla Kliouka,0.6,6.8
Alla Korot,1.4,4.2
Alla Sergiyko,0.6,5.95
Alla Yuganova,1.128,6.4
Allah-Morad Rashtian,0.6,7.300000000000001
Allan Bateman,0.6,6.8
Allan Bernard,0.6,6.3
Allan Border,0.6,8.5
Allan Corduner,2.4669999999999996,6.799999999999999
Allan Erb,0.6,6.7
Allan Gildea,1.165,7.6
Allan Graf,1.298,
Allan Groves,1.22,4.9
Allan Hawco,2.084,6.15
Allan Hotchkiss,0.6,3.7
Allan K.,0.629,6.1
Allan Kayser,0.6,5.2
Allan Kolman,1.159,3.5
Allan Louis,1.4,5.65
Allan McKenna,0.6,3.3
Allan Olsen,1.543,5.266666666666667
Allan Paule,1.1874666666666667,6.1923076923076925
Allan Ralph,0.6,6.7
Allan Rich,0.932,6.0
Allan Smith,0.6,
Allan Souza Lima,0.6,
Allan Svensson,0.6,4.466666666666667
Allan Wasserman,1.31,4.7
Allan Weisbecker,0.6,7.5
Allan Wu,1.666,5.45
Allari Naresh,0.84,5.95
Allegra Curtis,0.694,5.3
Allegra Fulton,0.6,5.7
Allelon Ruggiero,1.4,3.2
Allen Ai Lun,1.042,5.7
Allen Altman,1.4,4.6
Allen Alvarado,1.532,4.2
Allen Baker,0.6,3.1
Allen Crowell Jackson,0.6,4.7
Allen Cutler,0.608,3.6
Allen Daviau,0.605,7.1
Allen Dizon,2.0219999999999994,6.2375
Allen Evangelista,0.6,7.5
Allen Ginsberg,1.143,7.4
Allen Glazier,0.694,3.2
Allen Hamilton,0.6,6.5
Allen Iverson,1.094,6.7
Allen L. Smith,0.6,7.4
Allen Lee Haff,1.932,2.5999999999999996
Allen Leech,0.939,6.65
Allen Lin,0.6,4.8
Allen Maldonado,1.102,5.550000000000001
Allen Menefee,0.6,5.4
Allen Middleton,0.6,3.6
Allen Nabors,0.6,2.6
Allen Payne,2.268,5.2
Allen Perada,0.6,4.3
Allen Richard,0.6,4.0
Allen Richards,0.6,6.6
Allen Toussaint,0.6,7.2
Allen Wagner,0.6,5.5
Allen Walls,1.4,4.4
Allen Williamson,0.6,5.9
Allen Yates,0.6,4.0
Allene Quincy,0.6,6.8
Alley Mills,1.372,3.95
Alli Hart,0.6,5.6
Alli Willow,0.656,6.3
Allie Grant,1.908,6.5
Allie Marie Evans,0.745,3.6
Allie Rivenbank,0.6,4.3
Allie Santo Domingo,0.6,6.6
Allie Severino,0.6,7.1
Allie Smith,0.6,4.5
Allie Woods,0.6,4.5
Allison Anders,2.076,7.3
Allison Bibicoff,0.6,4.5
Allison Carter Thomas,0.6,5.75
Allison Cratchley,1.4,5.9
Allison Dunbar,0.694,4.75
Allison Egan,1.4,6.8
Allison Fleming,0.6,4.1
Allison Garrett,0.6,4.4
Allison Hossack,2.103,4.2
Allison Jacobson,0.6,6.2
Allison Janney,7.092,6.452941176470588
Allison Lane,0.84,5.9
Allison Lange,1.9600000000000004,4.4714285714285715
Allison Latta,3.347,7.3
Allison Mack,6.368,5.8
Allison Mackie,0.772,6.199999999999999
Allison Maier,0.6,5.7
Allison McAtee,1.961,5.5
Allison Miller,2.198,5.6
Allison Munn,2.267,6.266666666666667
Allison Nurse,0.6,2.9
Allison Paige,1.575,5.1
Allison Poccia,1.62,5.6
Allison R. Hart,0.6,6.6
Allison Scagliotti,3.632,5.533333333333334
Allison Sheniak,0.6,7.3
Allison Sie,0.6,4.1
Allison Siko,0.6,7.3
Allison Stander-Marley,0.6,6.6
Allison Tolman,2.85,5.6
Allison Torneros,0.6,6.4
Allison Tyler,0.6,7.6
Allison Vetter,0.6,9.4
Allison Warnyca,0.6,3.2
Allison Wright,0.6,6.2
Allisyn Ashley Arm,1.533,5.8
Allius Barnes,2.99,6.4
Allona Amor,1.5199999999999998,6.433333333333334
Allu Arjun,1.146,6.1499999999999995
Allu Sirish,0.98,5.5
Allu Tuppurainen,1.597,6.0
Ally Claire Carson,0.6,2.8
Ally Nawrocki,0.764,5.7
Ally Porabas,0.6,5.4
Ally Sheedy,0.652,4.928571428571429
Ally Walker,2.892,6.1
Allyce Beasley,1.03,7.4
Allyn Carrell,0.98,4.8
Allyn Rachel,0.972,2.5
Allysha Powanda,0.6,7.3
Allyson Cristofaro,0.6,8.8
Allyson Downey,1.4,4.4
Allyson Sereboff,1.646,6.1
Allyson VII,0.6,7.2
Allyson Voller,0.6,3.5
Allyssa Lamb,0.98,8.4
Alma Kwok,0.6,7.6
Alma Leiberg,3.0340000000000003,5.75
Alma Prica,3.649,7.475
Alma Reville,2.744,7.3
Alma Rodríguez,0.6,4.5
Alma Saraci,2.145,3.1
Alma Sisneros,1.127,6.0
Alma Soriano,1.4000000000000001,6.4
Almafuerte,0.6,6.7
Almar Haflidason,0.98,6.9
Almas Bektibayev,0.6,5.6
Almat Ayanov,0.6,6.7
Almedin Leleta,0.694,7.1
Almen Wong,1.38,5.125
Almeno Gonçalves,0.6,6.3
Almina Kavcı,0.98,4.3
Almir Kurt,0.6,6.6
Almira Osmanović,0.6,4.9
Almudena Alcazar,0.6,
Alni Avasya,0.6,
Alnur Turgambayeva,0.6,6.7
Alo Kõrve,0.728,7.2
Alois Kaufmann,0.6,7.0
Alois Langenegger,0.6,7.3
Alois Švehlík,0.98,4.2
Alojz Svete,0.6,6.3
Alok,1.38,5.8
Alok Nath,1.9600000000000004,5.405555555555555
Aloka Ganguly,0.6,6.3
Alokananda Roy,0.6,7.550000000000001
Aloma Wright,1.8659999999999999,4.728571428571429
Alon Aboutboul,3.7240000000000006,6.722222222222221
Alon Dahan,0.6,7.45
Alon Friedman,0.6,7.3
Alon Neuman,0.631,6.1000000000000005
Alon Oleartchik,0.6,6.6
Alona Tal,4.844,5.15
Alondra Salinas,0.694,3.2
Along Eyzendy,0.6,6.2
Alonnah Purkiss,0.6,2.2
Alonso Arias,0.6,6.5
Alonso Echánove,0.732,6.5
Alonso Oyarzun,1.62,5.3
Alonso Venegas,0.6,5.35
Alonzo Millsap,0.6,5.3
Aloïse Sauvage,0.6,6.4
Alp Kırşan,0.6,1.9
Alparslan Özmol,0.98,3.0
Alper Chochev,0.6,4.2
Alper Kul,0.6,2.9
Alper Rende,0.6,3.0
Alper Türedi,0.6,5.1
Alphonsa,0.6,3.8
Alphonse Menyo,0.6,5.4
Alphonse Puthren,0.706,7.1
Alphonso Jones,0.6,4.4
Alphonso Settles,0.6,4.8
Alqusyairi Radjamuda,0.6,5.7
Altaafkhan Dhonre,0.6,6.8
Altair Lima,0.6,7.4
Altan Akisik,1.048,5.7
Altan Erkekli,1.281,5.924999999999999
Altay Özbek,0.6,7.5
Altinay Ghelich Taghani,0.6,6.8
Alton Rogers,0.6,7.3
Alun Armstrong,2.2680000000000002,6.13
Alun ap Brinley,0.828,5.5
Alva Vasu,0.6,4.0
Alvaro Abos,0.6,7.8
Alvaro Alvarez,0.6,7.1
Alvaro Caleca,0.698,6.5
Alvaro Llanos,0.6,5.2
Alvaro Lucchesi,0.6,6.8
Alvaro Uccelletti,0.6,6.4
Alvaro Villagomez,0.6,3.2
Alvaro Vitali,3.759,5.45
Alvetta Smith,0.6,6.3
Alvin Adam,0.6,7.1
Alvin Anson,1.4000000000000001,6.257142857142857
Alvin Fitisemanu,0.694,6.300000000000001
Alvin Keith,0.6,7.1
Alvin Marquez,0.6,5.6
Alvin Tseng,0.6,3.6
Alvin Wong,0.6,5.4
Alvino Habibi,0.6,6.8
Alvis Le Gate,0.6,3.8
Alvyn Tulagan,0.6,
Alwara Höfels,1.4,6.15
Alwien Tulner,0.6,4.6
Alwyn Uytingco,0.6,5.6
Alxander von Bush,0.6,6.8
Aly Hartman,0.6,3.7
Aly Michalka,4.05,6.3
Aly Zaker ,0.6,7.7
Alya,0.6,6.0
Alyce Saad,0.6,3.8
Alyce Wangari,0.6,7.3
Alycia Delmore,0.699,6.1
Alyona Khmelnitskaya,0.615,6.4
Alyona Yakovleva,0.98,6.8
Alyse Pozzo,0.6,6.5
Alysha Westlake,0.6,5.3
Alyshia Ochse,6.742,4.9
Alysia Livingston,1.787,4.9
Alyson Gorske,0.6,
Alyson Hannigan,5.303,4.816666666666666
Alyson Leigh Rosenfeld,0.6,6.8
Alyson Orr,0.6,5.8
Alyson Stoner,3.097,5.739999999999999
Alyss Henderson,0.6,2.6
Alyss Winkler,0.6,5.1
Alyssa Cowell,0.6,1.9
Alyssa Labelle,1.4,5.6
Alyssa LeBlanc,0.6,6.8
Alyssa McClelland,0.6,6.449999999999999
Alyssa Milano,2.692,5.619999999999999
Alyssa Muhlach,0.6,6.7
Alyssa Pridham,0.6,3.6
Alyssa Soebandono,0.6,6.449999999999999
Alyssa Sutherland,7.455000000000001,4.933333333333333
Alyssa Wilson,0.6,2.7
Alyssia Dujmovich,0.6,5.5
Alysson Paradis,0.6,5.599999999999999
Alyy Khan,1.4000000000000001,5.7
Alžběta Stanková,1.96,5.75
Ama Quiambao,0.6,7.1
Amad Jackson,1.62,5.5
Amada Gomez,0.6,5.9
Amadee Castenell,0.6,7.2
Amadeo Carrizo,0.6,7.3
Amadeu Caronho,0.98,6.8
Amadi Houston,0.6,3.8
Amado Avendaño,0.6,7.0
Amadou Bourou,0.6,
Amadou Mbow,0.694,6.7
Amadu Mamadakov,0.725,6.375000000000001
Amaia Merino,0.6,6.3
Amal Ali Al-Saigel,0.6,7.3
Amal Ayouch,0.6,6.599999999999999
Amal Bweerat,0.6,6.6
Amal Chabli,0.6,6.6
Amal Ismail,0.6,6.2
Amal Setta,0.6,7.9
Amali Golden,2.667,7.1
Amalia Culp,0.6,5.3
Amalia Gómez,0.6,5.7
Amalia Moutoussi,0.6,6.6
Amalia Virtucio,0.6,7.5
Amalie Ihle Alstrup,2.654,6.4
Amalie Lindegård,1.96,6.25
Amaliya Mordvinova,0.6,5.333333333333333
Amalric Gérard,0.6,6.2
Aman Hundal,0.6,
Aman Johal,0.84,5.8
Aman Paksa,0.6,7.7
Aman Singh,0.98,
Aman Verma,0.603,4.866666666666666
Amanchi Venkata Subrahmanyam,0.65,5.8999999999999995
Amanda Aardsma,1.4,3.8000000000000003
Amanda Abbington,2.948,5.35
Amanda Alch,0.98,5.4
Amanda Anka,0.6,5.8
Amanda Armato,0.6,3.2
Amanda Barton,0.6,3.1
Amanda Bauman,0.648,3.3
Amanda Beck,0.6,4.5
Amanda Brooks,1.052,4.8
Amanda Brown,0.6,3.8
Amanda Brugel,2.286,6.125
Amanda Bynes,3.5420000000000003,5.866666666666667
Amanda Byram,0.6,6.8
Amanda Carlin,1.4,6.1
Amanda Carrier,0.6,6.1
Amanda Coffin,0.98,5.6
Amanda Colville,0.6,6.9
Amanda Conner,0.6,7.2
Amanda Crew,6.751,5.949999999999999
Amanda Davin,0.6,5.4
Amanda Dekker,0.6,2.1
Amanda Detmer,1.856,5.142857142857143
Amanda Diaz,0.98,
Amanda Dilma,0.6,6.5
Amanda Donohoe,2.45,5.449999999999999
Amanda Douge,0.6,5.4
Amanda Fairbank-Hynes,1.96,5.8
Amanda Feilding,0.6,8.0
Amanda Flowers,0.6,8.9
Amanda Foreman,1.048,5.4
Amanda Friesen,0.694,7.0
Amanda Gautier,0.6,7.2
Amanda George,0.694,6.6
Amanda Gibson,0.6,
Amanda Gobbard,0.828,4.2
Amanda Grace Benitez,0.6,3.7
Amanda Grimaldi,0.6,6.6
Amanda Hale,1.96,6.9
Amanda Harris,0.6,3.7
Amanda Hunt,0.6,4.6
Amanda Jean Kvakland,1.05,4.9
Amanda Jordan,0.6,7.4
Amanda Konash,0.6,7.3
Amanda Lalena Escalante Pimentel,0.6,7.6
Amanda Lamberti,0.6,5.2
Amanda Lane,0.6,4.5
Amanda Langlet,2.141,6.4
Amanda Lea,0.6,2.1
Amanda Lear,1.757,6.1499999999999995
Amanda Lee,0.9800000000000002,5.3500000000000005
Amanda Lerias,0.6,4.3
Amanda Loncar,0.6,5.4
Amanda MacDonald,0.6,4.3
Amanda Maddox,1.531,5.4
Amanda Manopo,0.634,5.7
Amanda Martin,0.6,7.4
Amanda Minujín,0.6,6.5
Amanda Noret,0.84,5.3
Amanda Ooms,1.415,5.966666666666666
Amanda Palmer,0.6,9.1
Amanda Pays,3.137,3.2
Amanda Peet,6.495000000000002,6.2681818181818185
Amanda Pham,0.6,6.0
Amanda Pilke,1.38,6.4
Amanda Plummer,5.189,5.7250000000000005
Amanda Rawles,0.84,6.4
Amanda Redman,2.016,5.833333333333333
Amanda Renberg,0.652,5.5
Amanda Reposa,0.6,5.5
Amanda Righetti,6.364999999999999,5.2
Amanda Ronconi,0.6,5.9
Amanda Ryan,0.6,6.0
Amanda Scheutzow,0.6,1.8
Amanda Schull,6.575,7.0
Amanda Seyfried,15.309,6.49
Amanda Simons,0.6,5.1
Amanda Smith,0.629,4.1
Amanda Soha,0.6,6.3
Amanda St. Jaymes,0.6,7.4
Amanda Strang,0.631,6.7
Amanda Talbot,0.6,6.9
Amanda Tapping,4.582,6.85
Amanda Tavarez,1.4,5.6
Amanda Tilson,0.6,4.8
Amanda Troop,1.165,5.5
Amanda Uusitalo,0.6,5.4
Amanda Vieira,0.6,7.0
Amanda Virrey,0.6,4.7
Amanda Walsh,4.162,5.7250000000000005
Amanda Ward,1.159,3.5
Amanda Warren,4.328,6.8
Amanda Waving,0.694,6.3
Amanda Welles,0.6,4.2
Amanda Wright,1.4,4.3
Amanda Wyss,2.377,5.425
Amanda de Martinis,0.6,5.6
Amanda-Jade Tyler,0.694,3.15
Amande Marty,0.6,7.4
Amandina Lihamba,0.6,7.1
Amandine Barbotte,0.6,
Amandine Maugy,0.6,5.6
Amandio Pinheiro,0.6,5.75
Amaneh Ekhtiar-dini,0.631,7.7
Amangeldi Nurzhanbayev,0.828,7.1
Amante Pulido,0.6,6.0
Amar Attia,0.6,7.2
Amar Bukvić,0.732,7.1
Amar Singh,0.6,4.3
Amar Upadhyay,0.694,2.3
Amara Cash,0.6,5.1
Amara Villafuerte,0.84,5.5
Amaranta Gutiérrez,0.98,
Amardeep Jha,0.828,5.366666666666667
Amari Cheatom,0.98,6.2
Amarin Nitipon,1.4,5.779999999999999
Amarr M. Wooten,2.54,4.9
Amaryllis Uitterlinden,0.6,7.2
Amaury Batista,0.6,7.0
Amaury Nolasco,4.25,5.83
Amaury Smets,0.6,6.7
Amaya Forch,0.6,6.0
Amazon John Easterling,0.6,
Ambareesh,0.6,6.9
Ambarish Bhattacharya,0.6,6.45
Amber Agar,0.968,4.6
Amber Alexander,0.6,5.7
Amber An,1.38,6.5
Amber Barretto,1.887,4.85
Amber Bartlett,1.4,5.5
Amber Beattie,1.396,7.8
Amber Benson,2.064,5.333333333333333
Amber Bloom,0.6,2.6
Amber Bongard,1.96,6.4
Amber Bordelon,0.6,7.5
Amber Borycki,2.43,3.4
Amber Cull,0.98,4.3
Amber Davila,0.6,7.2
Amber Edgar,0.6,2.5
Amber Gokken,0.728,5.65
Amber Hamilton Russo,1.176,5.1
Amber Havard,0.6,6.6
Amber Heard,11.145000000000001,5.7941176470588225
Amber Hubert,0.6,6.1
Amber Jaeger,0.6,5.949999999999999
Amber Johnson,0.6,5.9
Amber Joy Williams,0.972,4.6
Amber Kuo,1.459,4.15
Amber LaValle,0.6,1.6
Amber Lee Hynes,0.6,6.4
Amber Lee Vincent,0.6,6.0
Amber Loy,0.728,2.1
Amber Lynn Francis,0.6,2.1
Amber Madison,0.6,2.8
Amber McDonald,1.502,5.2
Amber Midthunder,1.62,6.8
Amber Newman,2.0979999999999994,4.366666666666667
Amber O'Shea,0.6,6.3
Amber Perkins,1.62,4.6
Amber Rose Revah,1.8836666666666666,6.033333333333334
Amber Rothwell,0.6,6.3
Amber Ryan,0.6,6.4
Amber Sainsbury,1.029,4.566666666666666
Amber Savva,0.6,5.0
Amber Smith,2.57,4.757142857142857
Amber Stevens West,4.974,6.45
Amber Stonebraker,4.725,6.9
Amber Tamblyn,3.732,5.989999999999999
Amber Teterissa,0.6,4.6
Amber Valletta,5.206999999999999,5.879999999999999
Amber Wallace,1.4,3.8
Amber Willenborg,1.96,4.0
Amber Worrall,0.6,5.8
Amberdeep Singh,1.4,6.9
Amberly Steffensen,0.6,6.1
Ambi Neenasam,1.38,7.2
Ambiga Sreenevasan,0.6,4.8
Ambika,1.388,4.871428571428572
Ambika Mohan,0.6,5.94
Ambra Angiolini,1.96,6.15
Ambra Craighero,0.6,
Ambre Even,0.6,4.1
Ambre Lake,0.6,5.2
Ambroise Thompson,0.6,6.8
Ambrosia Kreps,0.6,3.5
Ambujakshan Nambiar,0.6,
Amec Aris,0.84,
Ameer Baraka,0.972,2.5
Ameesha Patel,0.5999999999999999,4.422222222222222
Ameet Chana,0.708,2.9
Ameet Gaurr,1.241,3.6
Ameet Khedekar,0.6,7.2
Amel Brahim-Djelloul,0.6,5.9
Amel Choukh,0.6,6.9
Amel Safta,0.6,7.2
Amel Sahnoune,0.6,6.4
Amelda Brown,0.6,4.7
Amelia Bullmore,2.128,6.0
Amelia Curtis,0.6,6.550000000000001
Amelia Jackson-Gray,1.4,4.05
Amelia Jacob,0.6,6.4
Amelia Lowdell,1.4,6.1
Amelia Morck,1.4,2.6
Amelia Newbould,0.6,5.8
Amelia Warner,2.98,5.8875
Amelie Kiefer,1.4,6.0
Amelie Kroos,0.6,6.7
Amelie McLain,0.6,4.7
Amelie Willis,0.6,4.0
Amelita Baltar,0.6,6.2
Amen,0.6,4.5
Ameneh Passand,0.6,7.3
Amer Daher,0.6,6.6
Amer Hlehel,0.6,7.25
America Ferrera,4.372,6.688888888888889
America Olivo,5.453,5.5
America Young,1.357,3.9000000000000004
Amerjit Deu,0.84,4.7
Amerul Affendi,0.828,6.9
Amey Wagh,0.6,6.4
Ameya Hunaswadkar,0.6,6.9
Amgaabazar Gonson,0.6,7.4
Ami Abu,0.6,5.8
Ami Ankilewitz,0.694,6.7
Ami Armstrong,0.6,5.1
Ami Ikenaga,0.6,
Ami Koshimizu,1.616,8.3
Ami Metcalf,1.4,8.4
Ami Natsui,2.174,4.9
Ami Smolartchik,0.6,6.3
Ami Suzuki,1.4,6.6
Ami Weinberg,0.608,6.800000000000001
Amid Chakir,0.6,6.6
Amidou,0.958,7.1
Amidou Bonsa,0.6,6.8
Amie Barsky,0.6,6.5
Amie Dellavalle,0.98,4.7
Amie McKenna,0.6,6.8
Amiko Kanaya,0.6,5.0
Amil,0.6,5.7
Amin Andresco,0.6,6.0
Amin Chouikh,0.6,7.0
Amin Gazi,0.6,4.633333333333334
Amin Hajee,0.6,4.366666666666667
Amin Hayaei,1.4,5.5200000000000005
Amin Joseph,1.3636666666666664,5.066666666666667
Amin Tarokh,1.4,4.449999999999999
Amina Abdul Rasoul,0.6,7.4
Amina Annabi,0.629,6.199999999999999
Amina Baraka,0.6,8.3
Amina Khalil,3.058,
Amina Maher,0.6,7.4
Amina Rachid,0.6,7.9
Amina Syed,0.6,6.4
Aminah Al Fakir,0.6,5.7
Aminah Cendrakasih,1.618,7.0
Aminat Khamkhoeva,0.6,8.5
Aminata Dao,0.6,8.5
Aminata Kane,0.6,6.7
Amine Adjina,0.6,5.95
